projet_id,site,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
,Ally Bessadous,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000
,Ally Mercoeur,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000
,Ally Monteil,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000
,Ally Verseilles,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000,47.5000
,Artois 1,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,90.7969,90.7969
,Artois 2,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,90.7969,90.7969
,Avignonet,76.9400,78.1500,75.6200,55.0200,50.1700,52.3200,55.0600,47.1900,39.9900,39.4600,59.2300,63.3800
,Avignonet II,95.2822,95.2822,95.2822,95.2822,95.2822,95.2822,95.2822,95.2822,95.2822,95.2822,97.4737,97.4737
,Basse Thiérache Nord 1 ,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,86.2684,86.2684
,Basse Thiérache Nord 2,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,84.3830,86.2684,86.2684
,Bassigny,95.2823,95.2823,95.2823,95.2823,95.2823,95.2823,95.2823,95.2823,95.2823,95.2823,97.4738,97.4738
,Bazougeais,77.6760,77.6760,77.6760,77.6760,77.6760,77.6760,77.6760,77.6760,77.6760,77.6760,54.7600,44.0200
,Blanches Fosses PBF,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276,76.8276
,Bois des Fontaines,0.0000,0.0000,0.0000,0.0000,0.0000,67.4600,67.4600,67.4600,67.4600,67.4600,67.4600,67.4600
,Boralex Solaire Lauragais SAS,348.4543,348.4543,348.4543,348.4543,348.4543,348.4543,348.4543,348.4543,348.4543,348.4543,356.4687,356.4687
,Boralex Solaire Les Cigalettes SAS (Montfort),88.4079,88.4079,88.4079,88.4079,88.4079,88.4079,88.4079,88.4079,88.4079,88.4079,90.4413,90.4413
,Calmont (Laur Eole Energie ),90.7290,90.7290,90.7290,90.7290,90.7290,90.7290,90.7290,90.7290,90.7290,90.7290,92.8158,92.8158
,Cham Longe II,90.9448,90.9448,90.9448,90.9448,90.9448,90.9448,90.9448,90.9448,90.9448,90.9448,93.0365,93.0365
,Cham Longe Repowering,76.5955,76.5955,76.5955,76.5956,76.5956,76.5956,76.5956,76.5956,76.5956,76.5956,76.5955,78.3096
,Charmoy,90.8833,90.8833,90.8833,90.8833,90.8833,90.8833,90.8833,90.8833,90.8833,90.8833,92.9737,92.9737
,Chasse Marée,98.6330,98.6330,98.6330,98.6330,98.6330,98.6330,98.6330,98.6330,98.6330,98.6330,100.9016,100.9016
,Chemin de Grès,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,90.7969,90.7969
,Chépy,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000
,Coat Conval,97.5921,97.5921,97.5921,97.5921,97.5921,97.5921,97.5921,97.5921,97.5921,97.5921,99.8367,99.8367
,Comes de l'Arce,91.0181,91.0181,91.0181,91.0181,91.0181,91.0181,91.0181,91.0181,91.0181,91.0181,93.1115,93.1115
,Coteaux du Blaiseron,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,87.3433,87.3433
,Coulonges (CL),96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,98.2702,98.2702
,Coulonges (CP),96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,98.2702,98.2702
,Coulonges (NT),96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,96.0608,98.2702,98.2702
,Extension plaine d'Escrebieux XPE,67.3100,67.3100,67.3100,67.3100,67.3100,67.3100,67.3100,68.8717,68.8717,68.8717,68.8717,68.8717
,Extension seuil de Bapaume XSB,66.7227,66.7227,66.7227,66.7227,66.7227,66.7227,66.7227,66.7227,66.7227,66.7227,66.7227,68.2497
,Fierville,99.3844,99.3844,99.3844,99.3844,99.3844,99.3844,99.3844,99.3844,99.3844,99.3844,101.6702,101.6702
,Fond de la Plaine,98.2386,98.2386,98.2386,98.2386,98.2386,98.2386,98.2386,98.2386,98.2386,45.3500,59.0900,64.2400
,Fortel 1,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,93.3095,93.3095
,Fortel 2,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,91.2116,93.3095,93.3095
,Haut de Comble (HC),85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,85.3796,87.3433,87.3433
,Haut de Conge 1,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,100.1509,100.1509
,Haut de Conge 2,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,100.1509,100.1509
,Haut de Conge 3,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,97.8992,100.1509,100.1509
,Inter deux bos (MET),85.8500,85.8500,85.8500,85.8500,85.8500,85.8500,85.8500,85.8500,85.8500,85.8500,87.8246,87.8246
,La Citadelle,98.7601,98.7601,98.7601,98.7601,98.7601,98.7601,54.9200,52.4900,50.3150,52.5650,57.7900,62.3700
,La Grande Borne,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560,76.4560
,Le Catésis (CAT),76.2058,76.2058,76.2058,76.2058,76.2058,76.2058,76.2058,76.2058,76.2058,76.2058,58.6700,42.5600
,Le Grand Camp,98.6493,98.6493,98.6493,98.6493,98.6493,98.6493,98.6493,98.6493,98.6493,98.6493,100.9182,100.9182
,Le Pelon,86.6391,86.6391,86.6391,86.6391,86.6391,86.6391,86.6391,86.6391,86.6391,86.6391,88.5614,88.5614
,Leign ar Gasprenn,95.2803,95.2803,95.2803,95.2803,95.2803,95.2803,95.2803,95.2803,95.2803,95.2803,97.4717,97.4717
,Les Clérimois,97.2362,97.2362,97.2362,97.2362,97.2362,97.2362,97.2362,97.2362,97.2362,97.2362,99.4726,99.4726
,Les Eparmonts,95.2808,95.2808,95.2808,95.2808,95.2808,95.2808,95.2808,95.2808,95.2808,95.2808,97.4722,97.4722
,Les Moulins de Boulay,98.1376,98.1376,98.1376,98.1376,98.1376,98.1376,98.1376,98.1376,98.1376,98.1376,100.3948,60.1600
,Monts de Bagny 1,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,91.7492,91.7492
,Monts de Bagny 2,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,89.6864,91.7492,91.7492
,Morlange,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,92.5027,92.5027
,Ménétréols Les chênes (La vallée 3),91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,93.7480,93.7480
,Ménétréols Lizeray (La vallée 4),91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,93.7480,93.7480
,Ménétréols Renardiére (La vallée 2),91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,91.6403,93.7480,93.7480
,Nibas,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000,45.9000
,Noyers ,85.0132,85.0132,85.0132,85.0132,85.0132,85.0132,85.0132,85.0132,85.0132,85.0132,86.9398,86.9398
,Pannecé (BS),99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,102.0635,102.0635
,Pannecé La Vallière,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,99.7689,102.0635,102.0635
,Parc du Santerre (XSAN),71.7465,71.7465,71.7465,71.7465,71.7465,71.7465,71.7465,73.3901,73.3901,73.3901,73.3901,73.3901
,Pays d'Othe 1,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,93.2690,93.2690
,Peyrolles solaire,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900
,Plaine de Beaunay,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,90.7969,90.7969
,Plateau de Langres,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,101.9319,101.9319
,Plateau de Savernat 1,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,92.4093,92.4093
,Plateau de Savernat 2,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,92.4093,92.4093
,Plouguin,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000
,Repowering Bougainville,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1200,75.1200
,Repowering Evit Et Josaphats,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.7900,73.7900,73.7900,73.7900,73.7900
,Repowering Reclainville,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.7900,73.7900,73.7900,73.7900,73.7900,73.7900
,Ronchois 1,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,101.0842,101.0842
,Ronchois 2,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,101.0842,101.0842
,Ronchois 3,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,100.9168,100.9168
,Saint André,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,99.5460,99.5460
,Saint Christophe - Clé des champs,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,60.6987
,SdlL1,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,97.5050,97.5050
,SdlL2,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,97.5050,97.5050
,Seuil du Cambrésis- Ribecourt (RIB),83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,85.0374,85.0374
,Sources de l'Ancre 1 ,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,87.8214,87.8214
,Sources de l'Ancre 2,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,87.8214,87.8214
,St François Roye 2,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,93.1352,93.1352
,St François Roye 3,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,93.1352,93.1352
,St Georges (La Vallée 1),91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,93.7452,93.7452
,St Patrick Hermin,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,92.5969,92.5969
,St Patrick Pernois 1,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,97.3931,97.3931
,St Patrick Pernois 2,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,93.8403,93.8403
,St Patrick Pernois 3,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,95.2865,95.2865
,Touvent,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,92.7957,92.7957
,Val au Moines 1,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,90.7760,90.7760
,Val au Moines 2,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,90.7760,90.7760
,Vallée d'Arce 1 (DR),99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,102.2459,102.2459
,Vallée d'Arce 2 (NY),100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,102.3610,102.3610
,Vallée d'Arce 3 (NU),100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,102.3610,102.3610
,Voie des monts,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,90.7236,90.7236
,Vron,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,93.8319,93.8319
,Zondrange,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,92.5027,92.5027
